firma,sektor,altsektor,web,not
Papara,finans,odeme-epara,papara.com,
Param,finans,odeme-epara,param.com.tr,
iyzico,finans,odeme-epara,iyzico.com,
PayTR,finans,odeme-epara,paytr.com,
Sipay,finans,odeme-epara,sipay.com.tr,
Paycell,finans,odeme-epara,paycell.com.tr,Turkcell grubu
Tosla,finans,odeme-epara,tosla.com,Akbank grubu
Enpara,finans,dijital-banka,enpara.com,
Hayat Finans,finans,dijital-banka,hayatfinans.com.tr,
Colendi,finans,fintech,colendi.com,
Midas,finans,yatirim,getmidas.com,
ininal,finans,odeme-epara,ininal.com,
Moka,finans,odeme-epara,moka.com,
Birleşik Ödeme,finans,odeme-epara,birlesikodeme.com,
Paynet,finans,odeme-epara,paynet.com.tr,
Ozan,finans,odeme-epara,ozan.com,
Paribu,finans,kripto,paribu.com,
BtcTurk,finans,kripto,btcturk.com,
Trendyol,eticaret-perakende-teknoloji,eticaret,trendyol.com,
Hepsiburada,eticaret-perakende-teknoloji,eticaret,hepsiburada.com,
Getir,eticaret-perakende-teknoloji,hizli-teslimat,getir.com,
Yemeksepeti,eticaret-perakende-teknoloji,yemek-teslimat,yemeksepeti.com,
n11,eticaret-perakende-teknoloji,eticaret,n11.com,
Çiçeksepeti,eticaret-perakende-teknoloji,eticaret,ciceksepeti.com,
Amazon Türkiye,eticaret-perakende-teknoloji,eticaret,amazon.com.tr,
Migros,eticaret-perakende-teknoloji,perakende,migros.com.tr,
CarrefourSA,eticaret-perakende-teknoloji,perakende,carrefoursa.com,
A101,eticaret-perakende-teknoloji,perakende,a101.com.tr,
BİM,eticaret-perakende-teknoloji,perakende,bim.com.tr,
ŞOK Marketler,eticaret-perakende-teknoloji,perakende,sokmarket.com.tr,
Teknosa,eticaret-perakende-teknoloji,elektronik-perakende,teknosa.com,
MediaMarkt Türkiye,eticaret-perakende-teknoloji,elektronik-perakende,mediamarkt.com.tr,
Vatan Bilgisayar,eticaret-perakende-teknoloji,elektronik-perakende,vatanbilgisayar.com,
LC Waikiki,eticaret-perakende-teknoloji,moda-perakende,lcwaikiki.com,
DeFacto,eticaret-perakende-teknoloji,moda-perakende,defacto.com.tr,
Koton,eticaret-perakende-teknoloji,moda-perakende,koton.com,
Mavi,eticaret-perakende-teknoloji,moda-perakende,mavi.com,
Boyner,eticaret-perakende-teknoloji,moda-perakende,boyner.com.tr,
Beymen,eticaret-perakende-teknoloji,moda-perakende,beymen.com,
Gratis,eticaret-perakende-teknoloji,kozmetik-perakende,gratis.com,
Watsons Türkiye,eticaret-perakende-teknoloji,kozmetik-perakende,watsons.com.tr,
Rossmann Türkiye,eticaret-perakende-teknoloji,kozmetik-perakende,rossmann.com.tr,
Decathlon Türkiye,eticaret-perakende-teknoloji,spor-perakende,decathlon.com.tr,
